姓名,打卡天数,学习时长,学习词数
the__and.y,43,640分钟,2078
eunseok,41,787分钟,1767
懵懵不懵,41,1745分钟,2724
刘扬扬,39,1589分钟,10674
小面包sakuya,39,575分钟,1827
YUSHI,38,638分钟,1015
刘扬扬,38,3230分钟,4971
吴是温Ocean,37,1902分钟,1642
得能用纸,37,1197分钟,1833
郑在玹,35,2663分钟,2222
西珍妮冲冲冲,33,2398分钟,3286
宋石头,31,600分钟,1304
五十问,26,954分钟,1795
yuuushi,25,571分钟,939
哩有金,25,449分钟,873
淡奶油猪,25,550分钟,2066
钟炸雷,25,547分钟,853
无昵称用户1,25,1057分钟,5471
喜欢朴志晟的每一天,21,3968分钟,4229
dodo,20,1436分钟,3862
u咪,19,1130分钟,6065
parrkyushi,16,585分钟,1017
Jisung,15,1839分钟,1329
勇猪,15,228分钟,817
叶,14,423分钟,665
Vespera,13,352分钟,482
kurievoli,12,256分钟,633
tt.,11,340分钟,665
^陸^,10,391分钟,880
ku立方,10,1053分钟,274
朴志晟,10,213分钟,334
将太郎,9,121分钟,442
朴志晟,8,252分钟,1158
肖俊,8,262分钟,503
郑在玹,8,283分钟,331
jisung,7,505分钟,1002
福吉呐嘎,7,123分钟,160
宋恩硕,6,133分钟,274
朴志晟,6,103分钟,309
刘扬扬,5,132分钟,169
有否冷,5,90分钟,181
珍妮,5,118分钟,434
藤永肥肥,5,186分钟,396
叽鱼蛋,4,128分钟,129
肖德俊你别来劲了,4,84分钟,201
金豆嘤背单词中,4,57分钟,186
NCT挪移驾到～,3,37分钟,139
吴是温,3,112分钟,162
家夫李帝努,3,61分钟,67
帕叽颂,3,76分钟,182
广濑辽,3,102分钟,259
拆拆温,3,132分钟,111
木浦第一萌神,3,74分钟,225
前田垈辽,2,50分钟,50
宁挨皇族骂不流贫民泪,2,59分钟,732
李帝努,2,61分钟,105
李楷灿,2,55分钟,71
藤永小猪,2,42分钟,104
豆奶椰汁,2,118分钟,121
鲫鱼饼,2,22分钟,90
黄冠亨HENDERY,2,59分钟,428
sakuya,1,33分钟,27
sakuya,1,20分钟,80
yushi,1,31分钟,180
大大大头,1,100分钟,160
娜在民李杰诺,1,30分钟,177
猫猫欧一西,1,15分钟,20
Jeno Lee,0,2分钟,0
_jayhyun,0,0分钟,0
nct-吴是温,0,4分钟,29
ouo,0,0分钟,0
toku no,0,30分钟,0
前田陸,0,0分钟,0
叁叽崛起罢！,0,44分钟,68
尖牙猫,0,1分钟,0
得能勇志,0,0分钟,1
得能勇志,0,0分钟,0
或许你也喜欢果冻吗,0,0分钟,0
李灿荣六鸟一,0,7分钟,26
藤永咲哉,0,14分钟,3
Jeno,47,1263分钟,5545
Sion,47,2498分钟,4955
sakupang,47,594分钟,3005
u酱,47,4457分钟,14366
利用琴,47,2109分钟,8299
前田陸,47,2661分钟,2863
吴是温麻美吉,47,3781分钟,7992
四舞一李永钦,47,3112分钟,10205
金廷祐在学了,47,2786分钟,16317
馒牛99,47,2252分钟,15883
黄仁俊🌸,47,585分钟,2760
유우시,47,1788分钟,3301
Jisung,46,6509分钟,14934
Sakuya,46,938分钟,5173
石头大哥哥,46,523分钟,1047
icecream,45,1178分钟,7541
ushi,45,2006分钟,5472
六萝一大佛,45,1230分钟,7217
前田陆要温温的幸福,45,4938分钟,12272
得能勇志,45,723分钟,2243
金栽禧,45,684分钟,2036
朴志晟,44,1286分钟,4915
钟辰乐乐,44,1156分钟,874
罗渽民,42,769分钟,963
背单词的黑影大人,42,1561分钟,3808
李苔绒,40,729分钟,2629
金垚永,39,1154分钟,1427
刘扬扬得意,38,1530分钟,9022
藤永咲哉,38,1422分钟,4252
得能勇志取生辰纲,36,497分钟,810
imnotyushi,35,661分钟,1963
郑在背单词,35,1778分钟,3637
u喵,33,864分钟,1113
金廷祐,33,1511分钟,3019
Taeyong,32,2127分钟,3141
季季红,32,763分钟,3025
广濑辽,30,430分钟,1071
李帝努,27,308分钟,767
李帝努力雅思,27,304分钟,779
nct费曼,25,624分钟,699
NCT-郑在弦,23,1594分钟,4096
前田陆,23,301分钟,1255
线锟-HUN,22,353分钟,1087
辰志归,22,521分钟,1000
金廷祐(入伍版）,21,462分钟,677
朴志晟!,19,243分钟,749
Jaemin,18,227分钟,1110
李永钦,18,2769分钟,1583
栗泰容,18,377分钟,692
yushi,17,1037分钟,1848
lil jisung,16,448分钟,1437
得萌勇志,16,266分钟,406
李永琴,16,406分钟,658
清划大学前田陆,16,238分钟,587
罗渽民天来打卡,16,325分钟,660
我的心肝在哪里！,15,244分钟,1705
藤永小崽,15,303分钟,770
将小娘,14,343分钟,696
tokuno,12,165分钟,391
貂老师,12,572分钟,2897
saku,11,409分钟,875
得能笨笨咪,11,639分钟,393
NCT DJJ,10,764分钟,524
陸,10,138分钟,357
黄冠亨,10,196分钟,573
无昵称用户2,10,120分钟,436
5.3震撼面归！,9,464分钟,609
Sion_1,9,190分钟,472
得能勇志,7,76分钟,262
李永钦,7,524分钟,1113
罗渽咪,7,97分钟,195
金道英,7,2254分钟,290
前田酷栗,6,68分钟,172
李秀满,5,165分钟,117
jaemin,4,130分钟,135
kpop唯一尿尿,3,117分钟,741
sakupang,3,108分钟,334
朴志晟,3,112分钟,60
罗渽民,3,131分钟,495
uuuuushi,2,20分钟,200
得能用不用纸,2,22分钟,140
辽辽,2,40分钟,73
郑在背单词,2,46分钟,121
无昵称用户3,2,26分钟,112
oso's wife,1,26分钟,24
yushi,1,17分钟,20
六级我和你拼了,1,26分钟,16
四月别再折磨我,1,13分钟,20
悠悠诗,1,25分钟,320
捣蛋实木🪨,1,28分钟,64
Nana就不...,0,39分钟,93
Andy_park,0,0分钟,0
划分,0,2分钟,40
吴是温,0,0分钟,0
栽禧🌳,0,12分钟,31
比格大王wer,0,6分钟,17
毛羊羊,0,0分钟,0
淡奶油猪,0,0分钟,0
罗渽民,0,1分钟,0
黄冠亨,0,0分钟,0
SHOTARO,47,2494分钟,9287
Ushi,47,1196分钟,5586
命運之女,47,948分钟,1310
李帝努之母,47,3018分钟,4297
电脑椅子,47,903分钟,1087
罗渽民,47,1350分钟,1837
萝渽民,47,3267分钟,13666
面子哥,47,1468分钟,3471
黄瓜哼,47,531分钟,1515
Tendery,46,1714分钟,2313
和02line搞3p,46,1380分钟,5611
木浦吴是温,46,558分钟,2750
鲫鱼饼,46,3594分钟,11690
YUSHI,44,873分钟,811
郑在学英语,44,852分钟,1630
jjjisung🐹,43,2789分钟,15656
辰志这个那个,0,0分钟,0
黄荏筠,0,11分钟,6
🉐驻nct金善旴,0,14分钟,3
